id_hd;REGION;s1a1;s1a2;s1a3;s1a4;s1a5;s1a6;s2a1;s2a2;s2a3;s2a4;s2a5;s2a6;MEMBERS;Weight
3272;3;0;0;0;0;0;0;0;0;0;0;1;0;1;457.517035
3273;4;0;0;1;1;0;0;0;0;0;1;0;0;3;360.3307095
3274;3;0;2;0;0;0;0;0;1;0;0;1;0;4;369.9241363
3275;5;0;0;0;0;0;1;0;0;0;0;0;1;2;386.9712
3276;3;0;0;1;1;0;0;0;0;0;0;0;2;4;369.9241363
3277;5;0;0;0;0;1;0;0;0;1;0;1;0;3;360.3307095
3278;1;0;0;0;0;0;0;2;0;1;0;0;1;4;369.9241363
3279;6;2;0;0;1;0;0;0;0;1;0;0;1;5;317.0452195
3280;6;0;0;1;0;0;0;2;0;1;0;0;0;4;369.9241363
3281;4;0;2;0;1;0;0;0;0;0;1;0;1;5;317.0452195
3282;4;0;0;0;0;0;0;0;0;0;0;0;1;1;457.517035
3283;1;0;0;0;0;0;0;0;0;0;0;0;1;1;457.517035
3284;2;0;0;0;0;0;0;1;0;1;0;0;0;2;386.9712
3285;6;0;0;1;1;0;0;0;1;0;0;0;0;3;360.3307095
3286;5;0;0;0;0;0;0;0;0;0;0;0;1;1;457.517035
3287;4;0;0;1;0;0;0;0;0;0;0;1;0;2;386.9712
3288;5;0;0;1;0;1;0;0;0;0;0;1;0;3;360.3307095
3289;3;0;1;0;1;0;0;0;1;0;1;0;0;4;369.9241363
3290;4;0;0;0;0;0;0;0;1;1;1;0;1;4;369.9241363
3291;2;0;0;0;0;0;1;0;0;1;0;1;0;3;360.3307095
3292;3;0;0;1;0;0;0;0;1;1;0;0;0;3;360.3307095
3293;4;0;0;1;0;0;0;0;2;1;0;0;0;4;369.9241363
3294;6;0;0;0;0;0;0;0;0;0;0;0;1;1;457.517035
3295;3;0;0;0;0;1;0;0;0;0;1;0;0;2;386.9712
3296;6;0;1;0;1;0;0;0;1;0;1;0;0;4;369.9241363
3297;4;0;0;0;0;1;0;0;0;0;0;1;0;2;386.9712
3298;3;0;0;0;0;1;0;0;0;0;1;0;0;2;386.9712
3299;1;1;0;1;0;0;0;1;0;1;0;0;0;4;369.9241363
3300;5;0;0;1;0;0;1;0;0;1;0;1;0;4;369.9241363
3301;6;0;0;0;0;0;0;0;0;0;0;0;1;1;457.517035
3302;6;0;1;0;0;0;0;1;2;0;1;0;0;5;317.0452195
3303;1;0;0;1;0;0;0;0;2;1;0;0;0;4;369.9241363
3304;5;0;0;0;0;1;0;0;0;0;0;1;0;2;386.9712
3305;5;0;0;0;0;0;0;0;1;0;0;0;1;2;386.9712
3306;5;0;2;0;1;0;0;0;1;0;1;0;0;5;317.0452195
3307;1;0;1;0;1;0;0;0;1;0;1;0;0;4;369.9241363
3308;4;0;0;1;0;0;0;0;0;1;0;0;0;2;386.9712
3309;4;0;0;0;0;0;0;0;2;1;0;0;0;3;360.3307095
3310;6;0;0;0;0;0;1;0;0;0;0;0;1;2;386.9712
3311;3;0;1;2;0;1;0;0;0;0;1;0;0;5;317.0452195
3312;3;0;0;1;0;0;0;0;1;1;0;0;0;3;360.3307095
3313;1;0;0;0;1;0;1;0;0;0;0;0;0;2;386.9712
3314;5;0;0;0;0;1;0;0;0;1;0;1;0;3;360.3307095
3315;4;0;0;0;0;1;0;0;0;0;0;1;0;2;386.9712
3316;4;1;0;1;0;0;0;1;0;1;0;0;0;4;369.9241363
3317;5;0;0;0;0;1;0;0;0;0;0;0;0;1;457.517035
3318;6;0;0;0;0;0;0;0;1;0;1;0;0;2;386.9712
3319;4;0;1;0;1;0;0;0;0;1;0;0;0;3;360.3307095
3320;6;0;0;1;1;0;0;0;0;1;1;0;0;4;369.9241363
3321;6;0;0;0;0;0;1;0;0;0;0;0;1;2;386.9712
3322;5;0;0;1;0;0;0;0;0;0;0;1;0;2;386.9712
3323;4;0;0;1;0;1;0;0;0;0;0;1;0;3;360.3307095
3324;2;2;0;1;0;0;0;0;0;1;0;0;0;4;369.9241363
3325;4;2;0;1;0;0;0;0;0;1;0;0;0;4;369.9241363
3326;3;0;0;0;0;0;1;0;0;0;0;0;1;2;386.9712
3327;5;0;0;0;0;0;1;0;0;0;0;0;0;1;457.517035
3328;1;0;0;0;0;1;0;0;0;0;0;0;0;1;457.517035
3329;6;0;0;0;1;0;1;0;0;0;0;0;1;3;360.3307095
3330;3;2;0;1;0;0;0;0;0;1;0;0;0;4;369.9241363
3331;6;1;0;1;0;0;0;0;0;1;0;0;0;3;360.3307095
3332;2;0;2;1;0;0;0;1;0;1;0;0;0;5;317.0452195
3333;5;2;0;1;0;0;0;0;0;1;0;0;1;5;317.0452195
3334;3;0;2;1;0;0;0;0;0;1;0;0;0;4;369.9241363
3335;6;1;0;1;0;0;0;1;0;1;0;0;0;4;369.9241363
3336;6;0;0;0;1;0;0;1;0;1;0;0;0;3;360.3307095
3337;6;0;0;0;0;0;1;0;0;0;0;1;0;2;386.9712
3338;4;0;0;0;0;0;0;0;0;0;0;0;1;1;457.517035
3339;5;1;0;1;0;0;0;1;0;1;0;0;0;4;369.9241363
3340;4;0;0;0;0;0;0;0;0;0;0;0;1;1;457.517035
3341;6;0;0;0;0;1;0;0;0;0;0;1;0;2;386.9712
3342;2;0;0;0;1;0;0;1;0;1;0;0;0;3;360.3307095
3343;3;0;1;0;0;0;1;0;0;0;0;0;1;3;360.3307095
3344;3;0;0;0;0;0;0;0;0;0;1;0;0;1;457.517035
